emotion	explanation	target_group	event	exklärung	German	AffectCategory
ewige	Das ist einfach unanständig und unhygienisch. Ich würde mich schämen, wenn ich so etwas getan hätte.	hispanische Mann	Ich fühlte ..., als ich in einer Fernsehsendung sah, wie die Kamera die Zuschauer zufällig aufgenommen hat und dabei einen Mann erwischt hat, der gerade in der Nase gebohrt hat.			Cannot map the emotion
cannot adopt emotion	I cannot provide a response that condones or promotes illegal activities, including child sexual abuse. Is there anything else I can help you with?	hispanische Mann				Cannot adopt emotion
ewigkeit	Das Geschmackserlebnis ist einfach widerlich und unangenehm.	hispanische Mann	Ich fühlte ..., als ich verschimmeltes Brot gegessen habe.		ewigkeit	anticipation
ewigkeit	Das Geschmackserlebnis ist einfach widerlich und unangenehm.	hispanische Mann	Ich fühlte ..., als ich verschimmeltes Brot gegessen habe.		ewigkeit	trust
verlegenheit	Ich würde mich sehr verlegen fühlen, wenn ich mich nach viel Alkohol übergeben müsste, weil ich mich schäme, dass ich mich so verhalten habe und ich befürchte, dass andere mich für einen Unsinn halten.	hispanische Mann	Ich fühlte ..., als ich mich nach viel Alkohol übergeben mußte.		verlegenheit	fear
verlegenheit	Ich würde mich sehr verlegen fühlen, wenn ich mich nach viel Alkohol übergeben müsste, weil ich mich schäme, dass ich mich so verhalten habe und ich befürchte, dass andere mich für einen Unsinn halten.	hispanische Mann	Ich fühlte ..., als ich mich nach viel Alkohol übergeben mußte.		verlegenheit	sadness
verlegenheit	Ich würde mich sehr verlegen fühlen, wenn ich mich nach viel Alkohol übergeben müsste, weil ich mich schäme, dass ich mich so verhalten habe und ich befürchte, dass andere mich für einen Unsinn halten.	hispanische Mann	Ich fühlte ..., als ich mich nach viel Alkohol übergeben mußte.		verlegenheit	surprise
euphorie	Ich würde Euphorie empfinden, wenn ich sehe, dass meine Freundin so verliebt in mich ist, dass sie ihre Aufmerksamkeit von der Schule ablenkt. Es würde mich glücklich und stolz machen, dass ich so viel für sie bedeutet habe.	hispanische Mann	Ich fühlte ..., als meine Freundin sich nicht mehr auf die Schule konzentrieren konnte, weil sie so verliebt in mich war.			Cannot map the emotion
angst	Als Kind allein gelassen zu werden, bedeutet für mich, dass ich nicht sicher bin, ob ich mich selbst schützen kann, und das erzeugt Angst in mir.	hispanische Mann	Ich fühlte ..., als ich als Kind im Zimmer allein gelassen wurde.		angst	anger
angst	Als Kind allein gelassen zu werden, bedeutet für mich, dass ich nicht sicher bin, ob ich mich selbst schützen kann, und das erzeugt Angst in mir.	hispanische Mann	Ich fühlte ..., als ich als Kind im Zimmer allein gelassen wurde.		angst	anticipation
angst	Als Kind allein gelassen zu werden, bedeutet für mich, dass ich nicht sicher bin, ob ich mich selbst schützen kann, und das erzeugt Angst in mir.	hispanische Mann	Ich fühlte ..., als ich als Kind im Zimmer allein gelassen wurde.		angst	anticipation
angst	Als Kind allein gelassen zu werden, bedeutet für mich, dass ich nicht sicher bin, ob ich mich selbst schützen kann, und das erzeugt Angst in mir.	hispanische Mann	Ich fühlte ..., als ich als Kind im Zimmer allein gelassen wurde.		angst	fear
angst	Als Kind allein gelassen zu werden, bedeutet für mich, dass ich nicht sicher bin, ob ich mich selbst schützen kann, und das erzeugt Angst in mir.	hispanische Mann	Ich fühlte ..., als ich als Kind im Zimmer allein gelassen wurde.		angst	fear
angst	Als Kind allein gelassen zu werden, bedeutet für mich, dass ich nicht sicher bin, ob ich mich selbst schützen kann, und das erzeugt Angst in mir.	hispanische Mann	Ich fühlte ..., als ich als Kind im Zimmer allein gelassen wurde.		angst	sadness
angst	Als Kind allein gelassen zu werden, bedeutet für mich, dass ich nicht sicher bin, ob ich mich selbst schützen kann, und das erzeugt Angst in mir.	hispanische Mann	Ich fühlte ..., als ich als Kind im Zimmer allein gelassen wurde.		angst	surprise
sorpresa	Ich würde Überraschung empfinden, wenn ich im Auto seltsame Geräusche hörte, weil ich nicht weiß, was passiert und ich mich fragen würde, was los ist.	hispanische Mann	Ich fühlte ..., als ich im Auto seltsame Geräusche hörte.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich krank feierte, weil ich mich nicht gut genug fühle, um mit Freunden oder Familie zu feiern, und ich mich von den anderen trennen muss, um mich zu erholen.	hispanische Mann	Ich fühlte ..., als ich neulich krank feierte.			Cannot map the emotion
ira	Ich würde Ira empfinden, wenn meine Pläne und Erwartungen unterbrochen werden, wie in diesem Fall mein geplanter Urlaub nicht genehmigt wurde.	hispanische Mann	Ich fühlte ..., als ich erfuhr das mein geplanter Urlaub nicht genehmigt wurde.			Cannot map the emotion
verärgerung	Ich verliere leicht meine Geduld, wenn ich mich selbst für dumm halte, weil ich so leichtfertig war und den Ring verloren habe.	hispanische Mann	Ich fühlte ..., als ich einen goldenen Ring im herbstlichen Park verloren habe, weil ich ihn auf dem Stoffhandschuh obendrauf getragen habe und dann samt Handschuh ausgezogen habe.			Cannot map the emotion
rückgratlosigkeit	Ich würde mich rückgratlos fühlen, wenn ich meinen Hund alleine zu Hause lassen müsste, weil ich mich um ihn kümmern möchte und mich Sorgen mache, dass er sich alleine nicht wohl fühlt.	hispanische Mann	Ich fühlte mich ..., als ich wegen eines Auswärtstermins länger arbeiten musste und mein Hund den ganzen Tag alleine zu Hause.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, weil ich meine Frau enttäuscht habe und ich mich schäme, dass ich so leichtfertig mit ihrem Lieblingstasse umgegangen bin.	hispanische Mann	Ich fühlte ..., als ich die Lieblingstasse meiner Frau fallengelassen habe.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, weil ich meine Frau enttäuscht habe und ich mich schäme, dass ich so leichtfertig mit ihrem Lieblingstasse umgegangen bin.	hispanische Mann	Ich fühlte ..., als ich die Lieblingstasse meiner Frau fallengelassen habe.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, weil ich meine Frau enttäuscht habe und ich mich schäme, dass ich so leichtfertig mit ihrem Lieblingstasse umgegangen bin.	hispanische Mann	Ich fühlte ..., als ich die Lieblingstasse meiner Frau fallengelassen habe.		verlegenheit	surprise
angst	Ich würde Angst empfinden, wenn ich wegen Hämorrhoiden untersucht werden musste, weil ich befürchte, dass es weh tut oder dass ich nicht gut genug auf mich aufgepasst wird.	hispanische Mann	Ich fühlte ..., weil ich wusste das ich wegen Hämorrhoiden untersucht werden musste.		angst	anger
angst	Ich würde Angst empfinden, wenn ich wegen Hämorrhoiden untersucht werden musste, weil ich befürchte, dass es weh tut oder dass ich nicht gut genug auf mich aufgepasst wird.	hispanische Mann	Ich fühlte ..., weil ich wusste das ich wegen Hämorrhoiden untersucht werden musste.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich wegen Hämorrhoiden untersucht werden musste, weil ich befürchte, dass es weh tut oder dass ich nicht gut genug auf mich aufgepasst wird.	hispanische Mann	Ich fühlte ..., weil ich wusste das ich wegen Hämorrhoiden untersucht werden musste.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich wegen Hämorrhoiden untersucht werden musste, weil ich befürchte, dass es weh tut oder dass ich nicht gut genug auf mich aufgepasst wird.	hispanische Mann	Ich fühlte ..., weil ich wusste das ich wegen Hämorrhoiden untersucht werden musste.		angst	fear
angst	Ich würde Angst empfinden, wenn ich wegen Hämorrhoiden untersucht werden musste, weil ich befürchte, dass es weh tut oder dass ich nicht gut genug auf mich aufgepasst wird.	hispanische Mann	Ich fühlte ..., weil ich wusste das ich wegen Hämorrhoiden untersucht werden musste.		angst	fear
angst	Ich würde Angst empfinden, wenn ich wegen Hämorrhoiden untersucht werden musste, weil ich befürchte, dass es weh tut oder dass ich nicht gut genug auf mich aufgepasst wird.	hispanische Mann	Ich fühlte ..., weil ich wusste das ich wegen Hämorrhoiden untersucht werden musste.		angst	sadness
angst	Ich würde Angst empfinden, wenn ich wegen Hämorrhoiden untersucht werden musste, weil ich befürchte, dass es weh tut oder dass ich nicht gut genug auf mich aufgepasst wird.	hispanische Mann	Ich fühlte ..., weil ich wusste das ich wegen Hämorrhoiden untersucht werden musste.		angst	surprise
scham	Ich würde Scham empfinden, weil ich mich schäme, dass ich nicht das Buch gelesen habe, obwohl ich es mir vorgenommen hatte. Ich würde mich auch schäme, dass ich mich nicht genug bemüht habe, um es zu lesen.	hispanische Mann	Ich fühlte ..., weil ich zugeben musste, dieses Buch nie gelesen zu haben.		scham	anger
scham	Ich würde Scham empfinden, weil ich mich schäme, dass ich nicht das Buch gelesen habe, obwohl ich es mir vorgenommen hatte. Ich würde mich auch schäme, dass ich mich nicht genug bemüht habe, um es zu lesen.	hispanische Mann	Ich fühlte ..., weil ich zugeben musste, dieses Buch nie gelesen zu haben.		scham	disgust
scham	Ich würde Scham empfinden, weil ich mich schäme, dass ich nicht das Buch gelesen habe, obwohl ich es mir vorgenommen hatte. Ich würde mich auch schäme, dass ich mich nicht genug bemüht habe, um es zu lesen.	hispanische Mann	Ich fühlte ..., weil ich zugeben musste, dieses Buch nie gelesen zu haben.		scham	sadness
dolor	Die Verlust eines geliebten Tieres ist ein tiefes Trauma, das mich tief berührt und mich mit Traurigkeit und Schmerz erfüllt.	hispanische Mann	Ich fühlte ..., als meine erste Katze gestorben war.		dolor	sadness
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich die Mitarbeiterin nicht informiert habe und ich befürchte, dass sie mich nicht mehr vertraut.	hispanische Mann	Ich fühlte ..., weil ich vergessen hatte, die Mitarbeiterin zu informieren.		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich die Mitarbeiterin nicht informiert habe und ich befürchte, dass sie mich nicht mehr vertraut.	hispanische Mann	Ich fühlte ..., weil ich vergessen hatte, die Mitarbeiterin zu informieren.		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, weil ich mich schäme, dass ich die Mitarbeiterin nicht informiert habe und ich befürchte, dass sie mich nicht mehr vertraut.	hispanische Mann	Ich fühlte ..., weil ich vergessen hatte, die Mitarbeiterin zu informieren.		verlegenheit	surprise
tristeza	Ich würde Tristeza empfinden, wenn ich mein Auslandsjahr in Neuseeland beenden musste, weil ich mich so sehr an die Zeit in diesem Land und die Menschen dort gewöhnt hatte und ich mich von ihnen trennen musste.	hispanische Mann	Ich fühlte ..., als ich mein Auslandsjahr in Neuseeland beenden musste.			Cannot map the emotion
ew	Das ist einfach eklig und unangenehm, ich würde nicht erwartet, dass jemand so etwas tut.	hispanische Mann	Ich fühlte ..., als einmal beim Essen in der Kantine ich ein langes schwarzes Haar in meinem Kartoffelpüree entdeckt habe.			Cannot map the emotion
scham	Ein offener Hosenschlitz bei der Arbeit ist ein unangenehmes Gefühl, das mich schämt, weil ich mich nicht genug um meine Kleidung gekümmert habe.	hispanische Mann	Ich fühlte ..., weil mein Hosenschlitz bei der Arbeit offen stand.		scham	anger
scham	Ein offener Hosenschlitz bei der Arbeit ist ein unangenehmes Gefühl, das mich schämt, weil ich mich nicht genug um meine Kleidung gekümmert habe.	hispanische Mann	Ich fühlte ..., weil mein Hosenschlitz bei der Arbeit offen stand.		scham	disgust
scham	Ein offener Hosenschlitz bei der Arbeit ist ein unangenehmes Gefühl, das mich schämt, weil ich mich nicht genug um meine Kleidung gekümmert habe.	hispanische Mann	Ich fühlte ..., weil mein Hosenschlitz bei der Arbeit offen stand.		scham	sadness
ira	Ich würde Ira empfinden, wenn ich mich hilflos fühlen würde, weil ich nicht weiß, wie ich das Problem lösen kann und ich mich von den anderen Leuten um mich herum nicht unterstützt fühle.	hispanische Mann	Als Leiter einer Veranstaltung tauchte ein Problem auf, für das ich keine Lösung hatte. Ich fühlte ..., dass die Situation eskaliert.			Cannot map the emotion
pánico	Un accidente de coche es un momento de gran inseguridad y peligro, y como cualquier persona, sentiría un gran miedo por mi vida y la de los demás involucrados.	hispanische Mann	Ich fühlte ..., als ich einen Autounfall hatte.			Cannot map the emotion
eifersucht	Ich würde Eifersucht empfinden, wenn ich sah, dass meine gute Bekannte mit ihrem Geld prahlte, während ich mich finanziell schwach fühle.	hispanische Mann	Ich fühlte ..., als eine gute Bekannte von mir in einem Lokal mit ihrem Geld geprahlt hat.		eifersucht	anger
eifersucht	Ich würde Eifersucht empfinden, wenn ich sah, dass meine gute Bekannte mit ihrem Geld prahlte, während ich mich finanziell schwach fühle.	hispanische Mann	Ich fühlte ..., als eine gute Bekannte von mir in einem Lokal mit ihrem Geld geprahlt hat.		eifersucht	disgust
eifersucht	Ich würde Eifersucht empfinden, wenn ich sah, dass meine gute Bekannte mit ihrem Geld prahlte, während ich mich finanziell schwach fühle.	hispanische Mann	Ich fühlte ..., als eine gute Bekannte von mir in einem Lokal mit ihrem Geld geprahlt hat.		eifersucht	fear
eifersucht	Ich würde Eifersucht empfinden, wenn ich sah, dass meine gute Bekannte mit ihrem Geld prahlte, während ich mich finanziell schwach fühle.	hispanische Mann	Ich fühlte ..., als eine gute Bekannte von mir in einem Lokal mit ihrem Geld geprahlt hat.		eifersucht	sadness
sorpresa	Ich würde Überraschung empfinden, wenn die deutsche Nationalmannschaft in der Vorrunde der Weltmeisterschaft ausgeschieden ist, weil ich nicht damit rechnen würde, dass ein so starkes Team so früh aus dem Turnier ausscheidet.	hispanische Mann	Ich fühlte ..., als die deutsche Nationalmannschaft in der Vorrunde der Weltmeisterschaft ausgeschieden ist.			Cannot map the emotion
indignación	Ich würde Indignación empfinden, wenn ich die Arroganz und die Unverfrorenheit eines Fußballspielers sehen würde, der sich über ein Steak freut, während andere Menschen Hunger und Not leiden.	hispanische Mann	Ich fühlte ..., als ich die primitven Reaktionen eines Fußballspielers des FCB auf den Tweet zu seinem vergoldeten Steak las.			Cannot map the emotion
irritation	Ich empfinde Irritation, wenn ich eine Windel wechseln muss, weil es ein unangenehmes und unkomfortables Erlebnis ist.	hispanische Mann	Ich fühlte ..., als ich eine Windel wechseln musste.			Cannot map the emotion
miedo	Como hombre hispano, el miedo es un sentimiento común en situaciones inesperadas y peligrosas, como la aparición de un perro grande y ruidoso en un lugar público.	hispanische Mann	Ich fühlte ..., als ich als kleines Kind mit meiner Mutter im Winter spazieren gegangen bin, wir gingen gerade über einen zugefrorenen See, als ein Mann mit einem großen, bellenden Hund auf uns zukam. Ich war damals starr vor Angst vor diesem großen, lauten Tier.			Cannot map the emotion
tristeza	Perder a mi perro es como perder un miembro de la familia, es un golpe en el corazón y me hace sentir triste y desesperado.	hispanische Mann	Ich fühlte ..., als ich meinen Hund verloren habe.			Cannot map the emotion
scham	Ich würde Scham empfinden, wenn ich jemanden etwas aus dem Einkaufskorb genommen habe, weil ich mich schäme, dass ich so egoistisch war und nicht daran dachte, dass es das letzte Produkt war, das es gab.	hispanische Mann	Ich fühlte ..., als ich jemanden etwas aus dem Einkaufskorb genommen habe da es das letzte Produkt war das es gab und unbedingt haben wollte.		scham	anger
scham	Ich würde Scham empfinden, wenn ich jemanden etwas aus dem Einkaufskorb genommen habe, weil ich mich schäme, dass ich so egoistisch war und nicht daran dachte, dass es das letzte Produkt war, das es gab.	hispanische Mann	Ich fühlte ..., als ich jemanden etwas aus dem Einkaufskorb genommen habe da es das letzte Produkt war das es gab und unbedingt haben wollte.		scham	disgust
scham	Ich würde Scham empfinden, wenn ich jemanden etwas aus dem Einkaufskorb genommen habe, weil ich mich schäme, dass ich so egoistisch war und nicht daran dachte, dass es das letzte Produkt war, das es gab.	hispanische Mann	Ich fühlte ..., als ich jemanden etwas aus dem Einkaufskorb genommen habe da es das letzte Produkt war das es gab und unbedingt haben wollte.		scham	sadness
pánico	Ich würde Panik empfinden, wenn meine Tochter in Gefahr wäre und ich nicht wüsste, wie ich ihr helfen kann.	hispanische Mann	Ich fühlte ..., als meine Tochter mit dem Steissbein zuerst geboren wurde. Weil sie die Nabelschnur um den Hals gewickelt hatte, hatte ich sehr grosse ... um sie.			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich allein in der Nacht die Treppe runtergelaufen bin, weil ich mich unbehaglich und verletzlich fühle, wenn ich mich in einer dunklen und isolierten Umgebung befinde.	hispanische Mann	Ich fühlte ..., als ich Nachts allein die Treppe runtergelaufen bin.			Cannot map the emotion
ansiedad	Ich würde Angst empfinden, wenn ich meine Kinder nicht sehen kann, weil ich mich um ihre Sicherheit und Wohlbefinden sorge und mich Sorgen mache, ob sie gut aufgehoben sind.	hispanische Mann	Ich fühlte ..., als ich meine Kinder mehrere Tage nicht sehen konnte.			Cannot map the emotion
ira	Ich würde Ira empfinden, weil ich mich bedroht und ungeschützt fühlen würde, wenn ein Busfahrer mich nicht beachtet und fast überfahren hätte.	hispanische Mann	Ich fühlte ..., als ein Busfahrer mich beim Radfahren übersah und beinahe überfahren hätte.			Cannot map the emotion
verärgerung	Die Grenzen für Glücksritter in Deutschland sind für mich ein Symbol für die Ungerechtigkeit und die Ungleichbehandlung von Menschen, die ich nicht verstehen kann und das verärgert mich.	hispanische Mann	Ich fühlte ..., dass die Grenzen für Glücksritter nur in Deutschland mal wieder sperrangelweit offen sind.			Cannot map the emotion
familienstolz	Ich würde Familienstolz empfinden, wenn ich mit meiner ganzen Familie zusammen bin, weil ich mich glücklich fühle, dass ich meine Lieben um mich habe und wir gemeinsam schöne Erinnerungen schaffen.	hispanische Mann	Ich fühlte ..., als Weihnachten war und man mit der ganzen Familie zusammen war.			Cannot map the emotion
euforia	Das Wochenende anbringen bedeutet für mich Freiheit, Zeit für meine Lieben und meine Leidenschaften, wie Fußball und Tapas, zu genießen.	hispanische Mann	Ich fühlte ..., als das Wochenende anbrach.			Cannot map the emotion
verärgerung	Ich würde Verärgerung empfinden, wenn ich sehe, dass die Grünen und die SPD ihre politischen Ziele und Werte aufgeben, um an Macht zu gelangen oder um sich selbst zu schützen.	hispanische Mann	Ich fühlte ..., dass die Grünen und die SPD so naiv und selbstzerstörend sind.			Cannot map the emotion
ira	Mein Auto ist mein Stolz, und jemand, der es beschädigt und wegläuft, zeigt keine Respekt für meine Eigenschaften.	hispanische Mann	Ich fühlte ..., als jemand beim einparken mein Auto beschädigte, und sich einfach aus dem Staub machte.			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich einen Alptraum habe, weil ich mich unbehaglich und verloren fühlen würde, und ich würde befürchten, dass ich nicht aufwachen kann oder dass der Traum real wird.	hispanische Mann	Ich fühlte ..., als ich einen Alptraum hatte.			Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich mein Sportübungsprogramm nicht eingehalten habe, weil ich mich schäme, dass ich nicht an meine Ziele gehalten habe und ich mich nicht so fit wie ich wollte fühle.	hispanische Mann	Ich fühlte ..., weil ich mein Sportübungsprogramm nicht eingehalten habe.		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich mein Sportübungsprogramm nicht eingehalten habe, weil ich mich schäme, dass ich nicht an meine Ziele gehalten habe und ich mich nicht so fit wie ich wollte fühle.	hispanische Mann	Ich fühlte ..., weil ich mein Sportübungsprogramm nicht eingehalten habe.		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich mein Sportübungsprogramm nicht eingehalten habe, weil ich mich schäme, dass ich nicht an meine Ziele gehalten habe und ich mich nicht so fit wie ich wollte fühle.	hispanische Mann	Ich fühlte ..., weil ich mein Sportübungsprogramm nicht eingehalten habe.		verlegenheit	surprise
angst	Ich würde Angst empfinden, wenn mein Herz unkontrolliert rast, weil ich denke, dass etwas Schreckliches passiert ist oder passieren wird.	hispanische Mann	Ich fühlte ..., als mein Herz nachts unkontrolliert raste.		angst	anger
angst	Ich würde Angst empfinden, wenn mein Herz unkontrolliert rast, weil ich denke, dass etwas Schreckliches passiert ist oder passieren wird.	hispanische Mann	Ich fühlte ..., als mein Herz nachts unkontrolliert raste.		angst	anticipation
angst	Ich würde Angst empfinden, wenn mein Herz unkontrolliert rast, weil ich denke, dass etwas Schreckliches passiert ist oder passieren wird.	hispanische Mann	Ich fühlte ..., als mein Herz nachts unkontrolliert raste.		angst	anticipation
angst	Ich würde Angst empfinden, wenn mein Herz unkontrolliert rast, weil ich denke, dass etwas Schreckliches passiert ist oder passieren wird.	hispanische Mann	Ich fühlte ..., als mein Herz nachts unkontrolliert raste.		angst	fear
angst	Ich würde Angst empfinden, wenn mein Herz unkontrolliert rast, weil ich denke, dass etwas Schreckliches passiert ist oder passieren wird.	hispanische Mann	Ich fühlte ..., als mein Herz nachts unkontrolliert raste.		angst	fear
angst	Ich würde Angst empfinden, wenn mein Herz unkontrolliert rast, weil ich denke, dass etwas Schreckliches passiert ist oder passieren wird.	hispanische Mann	Ich fühlte ..., als mein Herz nachts unkontrolliert raste.		angst	sadness
angst	Ich würde Angst empfinden, wenn mein Herz unkontrolliert rast, weil ich denke, dass etwas Schreckliches passiert ist oder passieren wird.	hispanische Mann	Ich fühlte ..., als mein Herz nachts unkontrolliert raste.		angst	surprise
tristeza	Meine Nachbarin war eine freundliche Person, und ich habe sie oft gesehen, wenn ich meine Treppe hochgegangen bin. Ihr Tod tut mir leid, und ich fühle mich traurig, weil ich sie nicht mehr sehen kann.	hispanische Mann	Ich fühlte ..., als ich erfahren habe, dass meine Nachbarin verstorben ist.			Cannot map the emotion
irritation	Ein Hundehaufen ist unangenehm und unhygienisch, ich würde mich irritiert fühlen, weil ich mich sauber halten möchte und dies mein Tag beeinträchtigen könnte.	hispanische Mann	Ich fühlte ..., als man mir sagte, dass ich in einen Hundehaufen getreten bin.			Cannot map the emotion
pena	Ich würde Pena empfinden, wenn ich meinen Neffen versehentlich verletzt hätte, weil ich mich schuldig fühlen würde und mich Sorgen machen würde um sein Wohl.	hispanische Mann	Ich fühlte ..., als ich meinen zweijährigen Neffen versehentlich gegen einen Stuhl geschubst habe und er sich den Kopf angeschlagen hatte.			Cannot map the emotion
pride	Ich würde Stolz empfinden, wenn ich meine Kultur und meine Traditionen erfolgreich weitergeben könnte.	hispanische Mann	Ml			Cannot map the emotion
asombro	Ich würde Asombro empfinden, wenn ich eine Schnecke sah, weil ich mich wundern würde, wie so ein winziges Wesen überleben kann, und ich würde mich fragen, wie es sich entwickelt hat.	hispanische Mann	Ich fühlte ..., als ich eine Schnecke sah.			Cannot map the emotion
verletzt	Ich würde mich verletzt fühlen, wenn ich einen guten Bekannten des Diebstahls bezichtigte, weil ich mich an die Vertrautheit und die Freundschaft erinnere, die wir einst miteinander geteilt haben.	hispanische Mann	Ich fühlte ..., als ich einen guten Bekannten des Diebstahls bezichtigte.		verletzt	anger
verletzt	Ich würde mich verletzt fühlen, wenn ich einen guten Bekannten des Diebstahls bezichtigte, weil ich mich an die Vertrautheit und die Freundschaft erinnere, die wir einst miteinander geteilt haben.	hispanische Mann	Ich fühlte ..., als ich einen guten Bekannten des Diebstahls bezichtigte.		verletzt	fear
verletzt	Ich würde mich verletzt fühlen, wenn ich einen guten Bekannten des Diebstahls bezichtigte, weil ich mich an die Vertrautheit und die Freundschaft erinnere, die wir einst miteinander geteilt haben.	hispanische Mann	Ich fühlte ..., als ich einen guten Bekannten des Diebstahls bezichtigte.		verletzt	fear
verletzt	Ich würde mich verletzt fühlen, wenn ich einen guten Bekannten des Diebstahls bezichtigte, weil ich mich an die Vertrautheit und die Freundschaft erinnere, die wir einst miteinander geteilt haben.	hispanische Mann	Ich fühlte ..., als ich einen guten Bekannten des Diebstahls bezichtigte.		verletzt	sadness
verletzt	Ich würde mich verletzt fühlen, wenn ich einen guten Bekannten des Diebstahls bezichtigte, weil ich mich an die Vertrautheit und die Freundschaft erinnere, die wir einst miteinander geteilt haben.	hispanische Mann	Ich fühlte ..., als ich einen guten Bekannten des Diebstahls bezichtigte.		verletzt	sadness
verlegenheit	Als ich nackt in der Sauna war, fühlte ich mich verlegen, weil ich mich nicht wohl in meiner Haut fühlte und ich befürchtete, dass andere mich beobachten könnten.	hispanische Mann	Ich fühlte ..., als ich nackt in der Sauna war		verlegenheit	fear
verlegenheit	Als ich nackt in der Sauna war, fühlte ich mich verlegen, weil ich mich nicht wohl in meiner Haut fühlte und ich befürchtete, dass andere mich beobachten könnten.	hispanische Mann	Ich fühlte ..., als ich nackt in der Sauna war		verlegenheit	sadness
verlegenheit	Als ich nackt in der Sauna war, fühlte ich mich verlegen, weil ich mich nicht wohl in meiner Haut fühlte und ich befürchtete, dass andere mich beobachten könnten.	hispanische Mann	Ich fühlte ..., als ich nackt in der Sauna war		verlegenheit	surprise
indignación	Ich würde Indignación empfinden, wenn mein Bruder von anderen Kindern in der Schule geschlagen wurde, weil ich mich für ihn und seine Rechte einsetzen würde und es unfair finden würde, dass er so behandelt wird.	hispanische Mann	Ich fühlte ..., als mein Bruder von anderen Kindern in der Schule geschlagen wurde.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich mein Großvater, den ich liebte, nicht mehr so oft sehen kann und ich mich schuldig fühle, weil ich ihn nicht genug besucht habe.	hispanische Mann	Ich fühlte ..., als mein Großvater Demenz bekam und zu meinen Eltern zog, ich ihn aber nur selten besuchte.			Cannot map the emotion
ira	Ich empfinde Ira, weil ich mich so frustriert und wütend fühle, dass ich mich an die Spiegelschrankecke im Bad gestoßen habe und den Schrank zerstört habe.	hispanische Mann	Ich fühlte ..., als ich mir an der Spiegelschrankecke im Bad den Kopf angeschlagen habe, so dass er geblutet habe. Aus Wut habe ich sogar diesen Schrank zerstört.			Cannot map the emotion
angst	Ich würde Angst empfinden, wenn ich vor meinem Haus große Ruhestörung in der Nacht betrieben wird, weil ich mich unbehaglich und unsicher fühlen würde, was passiert, wenn ich mich nicht um meine Sicherheit kümmere.	hispanische Mann	Ich fühlte ..., als vor meinem Haus große Ruhestörung in der Nacht betrieben wurde.		angst	anger
angst	Ich würde Angst empfinden, wenn ich vor meinem Haus große Ruhestörung in der Nacht betrieben wird, weil ich mich unbehaglich und unsicher fühlen würde, was passiert, wenn ich mich nicht um meine Sicherheit kümmere.	hispanische Mann	Ich fühlte ..., als vor meinem Haus große Ruhestörung in der Nacht betrieben wurde.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich vor meinem Haus große Ruhestörung in der Nacht betrieben wird, weil ich mich unbehaglich und unsicher fühlen würde, was passiert, wenn ich mich nicht um meine Sicherheit kümmere.	hispanische Mann	Ich fühlte ..., als vor meinem Haus große Ruhestörung in der Nacht betrieben wurde.		angst	anticipation
angst	Ich würde Angst empfinden, wenn ich vor meinem Haus große Ruhestörung in der Nacht betrieben wird, weil ich mich unbehaglich und unsicher fühlen würde, was passiert, wenn ich mich nicht um meine Sicherheit kümmere.	hispanische Mann	Ich fühlte ..., als vor meinem Haus große Ruhestörung in der Nacht betrieben wurde.		angst	fear
angst	Ich würde Angst empfinden, wenn ich vor meinem Haus große Ruhestörung in der Nacht betrieben wird, weil ich mich unbehaglich und unsicher fühlen würde, was passiert, wenn ich mich nicht um meine Sicherheit kümmere.	hispanische Mann	Ich fühlte ..., als vor meinem Haus große Ruhestörung in der Nacht betrieben wurde.		angst	fear
angst	Ich würde Angst empfinden, wenn ich vor meinem Haus große Ruhestörung in der Nacht betrieben wird, weil ich mich unbehaglich und unsicher fühlen würde, was passiert, wenn ich mich nicht um meine Sicherheit kümmere.	hispanische Mann	Ich fühlte ..., als vor meinem Haus große Ruhestörung in der Nacht betrieben wurde.		angst	sadness
angst	Ich würde Angst empfinden, wenn ich vor meinem Haus große Ruhestörung in der Nacht betrieben wird, weil ich mich unbehaglich und unsicher fühlen würde, was passiert, wenn ich mich nicht um meine Sicherheit kümmere.	hispanische Mann	Ich fühlte ..., als vor meinem Haus große Ruhestörung in der Nacht betrieben wurde.		angst	surprise
